host;public_ip;status;attempts;latency (ms);date;timestamp
101domain.com;104.23.140.9;OK;1;3.94;21-02-2023;22:41:49
20minutos.es;18.154.41.15;OK;1;3.82;21-02-2023;22:41:50
2checkout.com;N/A;N/A;0;0.0;21-02-2023;22:41:50
4shared.com;204.155.149.43;OK;1;129;21-02-2023;22:41:50
500px.com;N/A;N/A;0;0.0;21-02-2023;22:41:50
abacus.coop;104.16.63.20;OK;1;4.22;21-02-2023;22:41:50
abanca.com;213.170.41.173;OK;1;16.9;21-02-2023;22:41:50
abc.es;23.200.66.141;OK;1;3.73;21-02-2023;22:41:50
abv.bg;194.153.145.104;OK;1;54.2;21-02-2023;22:41:50
academia.edu;108.157.109.33;OK;1;4.09;21-02-2023;22:41:50
accenture.com;N/A;N/A;0;0.0;21-02-2023;22:41:50
accounts.google.com;142.250.200.109;OK;1;4.49;21-02-2023;22:41:50
accuweather.com;104.83.200.193;OK;1;3.59;21-02-2023;22:41:50
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;0.0;21-02-2023;22:41:52
adoptauntio.es;N/A;N/A;0;0.0;21-02-2023;22:41:52
agame.com;104.21.78.214;OK;1;4.00;21-02-2023;22:41:52
agenciatributaria.es;N/A;N/A;0;0.0;21-02-2023;22:41:52
airbnb.es;N/A;N/A;0;0.0;21-02-2023;22:41:52
akamai.com;23.14.138.100;OK;1;4.01;21-02-2023;22:41:52
akf.de;92.204.236.87;OK;1;68.0;21-02-2023;22:41:52
aliexpress.com;47.254.177.101;OK;1;50.2;21-02-2023;22:41:52
amazon.com;54.239.28.85;OK;1;84.1;21-02-2023;22:41:52
amazon.es;52.95.116.112;OK;1;35.5;21-02-2023;22:41:52
amena.com;N/A;N/A;0;0.0;21-02-2023;22:41:52
amp.dev;75.2.60.5;OK;1;4.26;21-02-2023;22:41:53
analytics.google.com;142.250.200.142;OK;1;4.09;21-02-2023;22:41:53
android.com;142.250.200.68;OK;1;4.11;21-02-2023;22:41:53
antena3.com;N/A;N/A;0;0.0;21-02-2023;22:41:53
anuncios.es;N/A;N/A;0;0.0;21-02-2023;22:41:53
anydesk.com;108.157.109.103;OK;1;4.99;21-02-2023;22:41:53
aparat.com;N/A;N/A;0;0.0;21-02-2023;22:41:53
appcenter.ms;N/A;N/A;0;0.0;21-02-2023;22:41:53
apple.com;N/A;N/A;0;0.0;21-02-2023;22:41:53
applovin.com;141.193.213.21;OK;1;3.95;21-02-2023;22:41:53
appsflyer.com;N/A;N/A;0;0.0;21-02-2023;22:41:53
arabbank.com;N/A;N/A;0;0.0;21-02-2023;22:41:54
aresbank.es;N/A;N/A;0;0.0;21-02-2023;22:41:54
arsys.com;N/A;KO;3;0.0;21-02-2023;22:41:55
arsys.es;217.76.128.28;OK;1;5.35;21-02-2023;22:41:55
arvixe.com;N/A;N/A;0;0.0;21-02-2023;22:41:55
as.com;2.21.37.6;OK;1;4.50;21-02-2023;22:41:55
ashleymadison.com;104.16.119.62;OK;1;3.84;21-02-2023;22:41:55
asmallworld.com;N/A;N/A;0;0.0;21-02-2023;22:41:55
asos.com;23.62.180.212;OK;1;4.40;21-02-2023;22:41:56
atrapalo.com;N/A;N/A;0;0.0;21-02-2023;22:41:56
n.sni.global.fastly.net;151.101.133.91;OK;1;3.43;21-02-2023;22:41:56
atresplayer.com;N/A;N/A;0;0.0;21-02-2023;22:41:56
authorize.net;162.159.152.2;OK;1;5.15;21-02-2023;22:41:56
avast.com;23.214.221.97;OK;1;4.84;21-02-2023;22:41:56
avg.com;69.94.64.29;OK;1;47.0;21-02-2023;22:41:56
dr49lng3n1n2s.cloudfront.net;18.67.238.67;OK;1;4.08;21-02-2023;22:41:57
badoo.com;N/A;N/A;0;0.0;21-02-2023;22:41:57
baidu.com;39.156.66.10;OK;1;362;21-02-2023;22:41:57
bancofar.es;N/A;N/A;0;0.0;21-02-2023;22:41:57
bancopichincha.es;N/A;N/A;0;0.0;21-02-2023;22:41:57
bancopopular.es;45.60.104.180;OK;1;109;21-02-2023;22:41:57
bancosantander.es;23.0.112.225;OK;1;3.90;21-02-2023;22:41:57
bancsabadell.com;45.148.222.10;OK;1;7.78;21-02-2023;22:41:57
bandcamp.com;151.101.2.132;OK;1;3.70;21-02-2023;22:41:57
bankia.es;N/A;N/A;0;0.0;21-02-2023;22:41:57
bankinter.com;N/A;N/A;0;0.0;21-02-2023;22:41:57
bankoa.es;N/A;N/A;0;0.0;21-02-2023;22:41:57
bankofbeijing.com.cn;N/A;N/A;0;0.0;21-02-2023;22:41:58
bantierra.es;N/A;N/A;0;0.0;21-02-2023;22:41:58
barclays.co.uk;104.88.110.198;OK;1;26.2;21-02-2023;22:41:58
bbva.es;104.83.211.222;OK;1;5.15;21-02-2023;22:41:58
be.ceca.es;N/A;N/A;0;0.0;21-02-2023;22:41:58
be2.es;93.104.242.20;OK;1;68.5;21-02-2023;22:41:58
bebee.com;62.97.142.16;OK;2;5.38;21-02-2023;22:41:59
beinconnect.es;18.154.41.127;OK;1;4.71;21-02-2023;22:41:59
bemad.es;N/A;N/A;0;0.0;21-02-2023;22:41:59
bet365.es;5.226.179.12;OK;1;4.05;21-02-2023;22:42:00
bing.com;13.107.21.200;OK;1;4.99;21-02-2023;22:42:00
blogger.com;142.250.178.169;OK;1;4.71;21-02-2023;22:42:00
blogs.route53.opera.com;N/A;KO;3;0.0;21-02-2023;22:42:02
Blogspot.com;142.250.184.169;OK;1;5.31;21-02-2023;22:42:02
bluehost.com;104.18.28.109;OK;1;4.49;21-02-2023;22:42:02
bmcebank.ma;212.217.29.195;OK;1;30.0;21-02-2023;22:42:02
bmce-intl.com;N/A;N/A;0;0.0;21-02-2023;22:42:03
bnl.it;N/A;N/A;0;0.0;21-02-2023;22:42:03
bnpparibas.es;23.0.116.18;OK;1;4.46;21-02-2023;22:42:03
boing.es;N/A;N/A;0;0.0;21-02-2023;22:42:03
booking.com;N/A;N/A;0;0.0;21-02-2023;22:42:03
burguerkingencasa.es;N/A;KO;3;0.0;21-02-2023;22:42:04
buysellads.com;N/A;N/A;0;0.0;21-02-2023;22:42:04
buzznet.com;34.73.83.172;OK;1;96.3;21-02-2023;22:42:05
cadena100.es;N/A;N/A;0;0.0;21-02-2023;22:42:05
cadenadial.com;N/A;N/A;0;0.0;21-02-2023;22:42:05
