host;public_ip;status;attempts;city;region;country;source_point;destination;ASN;ISP;postal;timezone;latency (ms);date
2checkout.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:46:58
500px.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:46:58
101domain.com;104.23.140.9;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;2.50;09-05-2023 15:46:59
abacus.coop;104.16.62.20;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.28;09-05-2023 15:46:59
20minutos.es;108.157.109.46;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;2.86;09-05-2023 15:46:59
accenture.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:46:59
abanca.com;213.170.41.173;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16203;NCG Banco;28050;Europe/Madrid;18.0;09-05-2023 15:46:59
abc.es;23.200.66.144;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS20940;Akamai International B.V.;28001;Europe/Madrid;3.55;09-05-2023 15:46:59
4shared.com;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:46:59
adoptauntio.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:46:59
