host;public_ip;status;attempts;city;region;country;location;organization;postal;timezone;latency (ms);date
101domain.com;104.23.139.9;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.74;25-04-2023 01:21:36
20minutos.es;18.154.41.61;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;2.81;25-04-2023 01:21:37
2checkout.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:37
4shared.com;204.155.149.43;OK;3;Irving;Texas;US;32.8140,-96.9489;AS40824 WZ Communications Inc.;75059;America/Chicago;128;25-04-2023 01:21:38
500px.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:38
abacus.coop;104.16.62.20;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.17;25-04-2023 01:21:38
abanca.com;213.170.41.173;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16203 NCG Banco;28050;Europe/Madrid;14.8;25-04-2023 01:21:38
abc.es;23.200.66.142;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS20940 Akamai International B.V.;28052;Europe/Madrid;2.57;25-04-2023 01:21:39
abv.bg;194.153.145.104;OK;1;Sofia;Sofia-Capital;BG;42.6975,23.3241;AS13147 Net Info JSCo;1000;Europe/Sofia;52.7;25-04-2023 01:21:39
academia.edu;54.192.95.85;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;3.17;25-04-2023 01:21:40
accenture.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:40
accounts.google.com;142.250.200.141;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;3.62;25-04-2023 01:21:40
accuweather.com;2.16.78.41;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16625 Akamai Technologies, Inc.;28052;Europe/Madrid;3.33;25-04-2023 01:21:40
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:41
adoptauntio.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:41
agame.com;104.21.78.214;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.57;25-04-2023 01:21:42
agenciatributaria.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:42
airbnb.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:42
akamai.com;104.83.83.139;OK;2;Milan;Lombardy;IT;45.4643,9.1895;AS16625 Akamai Technologies, Inc.;20121;Europe/Rome;30.6;25-04-2023 01:21:42
akf.de;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:43
aliexpress.com;47.254.175.252;OK;2;Frankfurt am Main;Hesse;DE;50.1112,8.6831;AS45102 Alibaba (US) Technology Co., Ltd.;60311;Europe/Berlin;32.0;25-04-2023 01:21:43
amazon.com;52.94.236.248;OK;2;Ashburn;Virginia;US;39.0437,-77.4875;AS16509 Amazon.com, Inc.;20147;America/New_York;78.2;25-04-2023 01:21:44
amazon.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:45
amena.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:45
amp.dev;75.2.60.5;OK;1;Seattle;Washington;US;47.5413,-122.3129;AS16509 Amazon.com, Inc.;98108;America/Los_Angeles;2.90;25-04-2023 01:21:45
analytics.google.com;142.250.200.110;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;2.83;25-04-2023 01:21:45
android.com;142.250.185.4;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;3.00;25-04-2023 01:21:46
antena3.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:46
anuncios.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:46
anydesk.com;108.157.109.103;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;3.16;25-04-2023 01:21:46
aparat.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:46
appcenter.ms;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:46
apple.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:46
applovin.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:47
appsflyer.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:47
arabbank.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:47
aresbank.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:47
arsys.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:48
arsys.es;217.76.128.28;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS8560 IONOS SE;28001;Europe/Madrid;3.20;25-04-2023 01:21:48
arvixe.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:48
as.com;2.21.39.18;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS20940 Akamai International B.V.;28052;Europe/Madrid;3.27;25-04-2023 01:21:49
ashleymadison.com;104.16.120.62;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.89;25-04-2023 01:21:49
asmallworld.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:49
asos.com;23.200.66.162;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS20940 Akamai International B.V.;28052;Europe/Madrid;3.50;25-04-2023 01:21:50
atrapalo.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:50
n.sni.global.fastly.net;151.101.133.91;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS54113 Fastly, Inc.;28001;Europe/Madrid;2.63;25-04-2023 01:21:50
atresplayer.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:50
authorize.net;162.159.152.2;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.02;25-04-2023 01:21:51
avast.com;23.73.170.177;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16625 Akamai Technologies, Inc.;28052;Europe/Madrid;2.76;25-04-2023 01:21:51
avg.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:52
dr49lng3n1n2s.cloudfront.net;18.154.16.68;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;3.13;25-04-2023 01:21:52
badoo.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:52
baidu.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:53
bancofar.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:53
bancopichincha.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:53
bancopopular.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:54
bancosantander.es;104.126.254.227;OK;1;Paris;Île-de-France;FR;48.8563,2.3453;AS16625 Akamai Technologies, Inc.;75001;Europe/Paris;22.6;25-04-2023 01:21:54
bancsabadell.com;45.148.222.10;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS60813 Banco Sabadell;28001;Europe/Madrid;4.92;25-04-2023 01:21:55
bandcamp.com;151.101.194.132;OK;1;San Francisco;California;US;37.7621,-122.3971;AS54113 Fastly, Inc.;94107;America/Los_Angeles;3.12;25-04-2023 01:21:55
bankia.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;25-04-2023 01:21:55
