host;public_ip;status;attempts;latency (ms);date
101domain.com;104.23.139.9;OK;1;3.66;26-02-2023 00:45:03
20minutos.es;18.154.41.32;OK;1;4.08;26-02-2023 00:45:03
2checkout.com;N/A;N/A;0;0.0;26-02-2023 00:45:03
4shared.com;204.155.149.43;OK;3;128;26-02-2023 00:45:05
500px.com;N/A;N/A;0;0.0;26-02-2023 00:45:05
abacus.coop;104.16.63.20;OK;1;3.82;26-02-2023 00:45:05
abanca.com;213.170.41.173;OK;1;19.7;26-02-2023 00:45:05
abc.es;23.200.66.142;OK;1;3.80;26-02-2023 00:45:05
abv.bg;N/A;KO;3;0.0;26-02-2023 00:45:07
academia.edu;54.192.95.5;OK;1;4.75;26-02-2023 00:45:07
accenture.com;N/A;N/A;0;0.0;26-02-2023 00:45:07
accounts.google.com;142.250.184.173;OK;1;3.59;26-02-2023 00:45:07
accuweather.com;104.83.200.193;OK;1;4.18;26-02-2023 00:45:07
prod-web.eu-west-1.elasticbeanstalk.com;N/A;KO;3;0.0;26-02-2023 00:45:09
adoptauntio.es;N/A;N/A;0;0.0;26-02-2023 00:45:09
agame.com;104.21.78.214;OK;1;4.73;26-02-2023 00:45:09
agenciatributaria.es;N/A;N/A;0;0.0;26-02-2023 00:45:09
airbnb.es;N/A;N/A;0;0.0;26-02-2023 00:45:09
akamai.com;2.17.186.73;OK;1;40.7;26-02-2023 00:45:09
akf.de;92.204.236.87;OK;1;33.3;26-02-2023 00:45:10
aliexpress.com;47.254.177.101;OK;1;33.1;26-02-2023 00:45:10
amazon.com;205.251.242.103;OK;1;84.1;26-02-2023 00:45:10
amazon.es;52.95.116.112;OK;1;34.7;26-02-2023 00:45:10
amena.com;N/A;N/A;0;0.0;26-02-2023 00:45:10
amp.dev;75.2.60.5;OK;1;4.24;26-02-2023 00:45:11
analytics-alv.google.com;216.239.32.181;OK;1;6.18;26-02-2023 00:45:11
android.com;142.250.184.164;OK;1;4.30;26-02-2023 00:45:11
antena3.com;N/A;N/A;0;0.0;26-02-2023 00:45:11
anuncios.es;N/A;N/A;0;0.0;26-02-2023 00:45:11
anydesk.com;108.157.109.87;OK;1;4.61;26-02-2023 00:45:11
aparat.com;N/A;N/A;0;0.0;26-02-2023 00:45:11
appcenter.ms;N/A;N/A;0;0.0;26-02-2023 00:45:11
apple.com;N/A;N/A;0;0.0;26-02-2023 00:45:11
applovin.com;141.193.213.21;OK;1;5.16;26-02-2023 00:45:11
appsflyer.com;N/A;N/A;0;0.0;26-02-2023 00:45:11
arabbank.com;N/A;N/A;0;0.0;26-02-2023 00:45:11
aresbank.es;N/A;N/A;0;0.0;26-02-2023 00:45:11
arsys.com;N/A;KO;3;0.0;26-02-2023 00:45:13
arsys.es;217.76.128.28;OK;1;5.06;26-02-2023 00:45:13
arvixe.com;N/A;N/A;0;0.0;26-02-2023 00:45:13
